Eden	楽園追放 -Faith Conquest- 	4 722 655 	3 ans	2 minutes et 14 secondes
Switch	Galaxy Destiny 	661 661 	10 mois	2 minutes et 8 secondes
Crazy:B	Noisy:Beep	3 200 370 	1 an	2 minutes et 25 secondes
紅月	斬 -決意ノ刃- 	1 504 393 	3 ans	2 minutes et 26 secondes
Switch	I ”Witch” You A Happy Halloween! 	1 349 012 	3 ans	2 minutes et 23 secondes
Switch	Magic for your “Switch” 	2 366 116 	2 ans	2 minutes et 29 secondes
紅月	百花繚乱、紅月夜 	3 205 004 	3 ans	2 minutes et 39 secondes
Valkyrie	迷宮電子回廊 	2 290 820 	9 mois	2 minutes et 45 secondes
Knights	Or the Beautiful Golden Drop	3 693 521 	7 mois	2 minutes et 50 secondes
Crazy:B	NA NA NA SUMMER NIGHT BeeAT 	1 137 940 	5 mois	2 minutes et 35 secondes
Valkyrie	Mémoire Antique 	1 848 295 	3 ans	2 minutes et 7 secondes
Switch	オモイノカケラ 	2 760 340 	2 ans	1 minute et 50 secondes
Ra*bits × Double Face	ポケットに宇宙 	1 728 915 	2 ans	2 minutes et 29 secondes
ALKALOID	Living on the edge 	3 714 783 	3 ans	2 minutes et 3 secondes
Ra*bits	Milky Starry Charm 	2 181 836 	2 ans	2 minutes et 22 secondes
Valkyrie	今宵月の館にて 	3 293 905 	3 ans	2 minutes et 16 secondes
UNDEAD	Nightless World 	2 494 318 	3 ans	1 minute et 57 secondes
Valkyrie	祝福のLibrary 	327 906 	1 mois	2 minutes et 43 secondes
Knights	Coruscate Breeze 	4 175 589 	1 an	2 minutes et 41 secondes
Ra*bits	ヒカリスペクトル 	471 815 	4 mois	2 minutes et 48 secondes
Eden	Dance in the Apocalypse 	7 685 046 	3 ans	2 minutes et 11 secondes
オルタード	Twilight Pentagram 	4 156 021 	8 mois	2 minutes et 44 secondes
ALKALOID	VERMILION	3 071 656 	1 an	2 minutes et 50 secondes
フラタニティ	エンドレスヴィーデ 	1 115 436 	2 ans	2 minutes et 32 secondes
Ra*bits	メルティ♡キッチン 	3 550 942 	3 ans	2 minutes et 17 secondes
fine	恋はプリマヴェーラ！ 	2 476 651 	2 ans	2 minutes et 18 secondes
Eve	Ruby Love 	3 407 972 	10 mois	2 minutes et 40 secondes
Jin & Akiomi	Rainbow Stairway 	1 035 467 	3 ans	2 minutes et 17 secondes
Knights	Voice of Sword 	6 305 687 	3 ans	2 minutes et 51 secondes
Double Face	Bye-Bye Buddy 	742 465 	4 mois	2 minutes et 35 secondes
紅月	夏鳥の詩 -サマーバード- 	896 709 	1 an	2 minutes et 32 secondes
Puffy☆Bunny	パラダイム・リバーシ！	2 392 745 	1 an	2 minutes et 36 secondes
ALKALOID	Living on the edge 	3 714 798 	3 ans	2 minutes et 3 secondes
2wink	TRICK with TREAT!!(with UNDEAD) 	2 572 251 	3 ans	2 minutes et 29 secondes
Switch	エメラルドプラネット 	2 266 683 	3 ans	2 minutes et 20 secondes
Knights	Silent Oath 	4 857 597 	3 ans	2 minutes et 2 secondes
Trickstar & Eden	キセキ 	2 624 402 	3 ans	2 minutes et 34 secondes
La Mort	Noir Neige 	5 238 243 	2 ans	2 minutes et 53 secondes
Trickstar	HEART→BEATER!!!!(ALBUM Mix) 	1 049 159 	3 ans	2 minutes et 21 secondes
2wink	Fighting Dreamer 	1 696 853 	2 ans	2 minutes et 23 secondes
Double Face	Stippling 	1 843 561 	2 ans	2 minutes et 7 secondes
XXVeil	Midnight Butlers 	5 653 290 	3 ans	2 minutes et 15 secondes
Knights	Article of Faith	1 593 595 	10 mois	2 minutes et 18 secondes
STAR TRAINER	あんさんぶるトレーニング  	682 459 	8 mois	2 minutes et 43 secondes
夢ノ咲ドリームスターズ	Stars' Ensemble! 	2 170 939 	4 ans	2 minutes et 57 secondes
2wink	ハートプリズム・シンメトリー 	1 495 855 	3 ans	2 minutes et 29 secondes
Trickstar	Daydream×Reality	1 948 407 	1 an	2 minutes et 25 secondes
ALKALOID	Hysteric Humanoid 	1 909 790 	1 an	2 minutes et 30 secondes
ナイトキラーズ	Crush of Judgment 	1 045 950 	4 mois	2 minutes et 16 secondes
UNDEAD	Gate of the Abyss 	2 442 072 	3 ans	2 minutes et 23 secondes
fine	Dreaming Ocean	563 579 	4 mois	2 minutes et 37 secondes
Crazy:B	Honeycomb Summer 	9 913 694 	3 ans	2 minutes et 26 secondes
Ra*bits	パラレルメイズ 	476 758 	6 mois	2 minutes et 35 secondes
Crazy:B × 2wink	LEMON SQUASH CHEERS! 	2 430 754 	1 an	2 minutes et 14 secondes
ALKALOID	Believe 4 leaves 	4 058 752 	1 an	2 minutes et 41 secondes
Double Face	ネビュラ 	287 566 	3 mois	2 minutes et 39 secondes
流星隊	彗星HALATION 	2 841 067 	2 ans	2 minutes et 19 secondes
Switch	Temptation Magic 	2 739 437 	3 ans	2 minutes et 34 secondes
Eden	EXCEED 	6 589 153 	2 ans	2 minutes et 28 secondes
Ra*bits	Love Ra*bits Party!! 	1 792 656 	3 ans	2 minutes et 20 secondes
UNDEAD	Melody in the Dark 	6 064 633 	3 ans	2 minutes et 52 secondes
Valkyrie	Last Lament 	2 327 138 	3 ans	2 minutes et 9 secondes
fine	Ghostic Treat House 	2 905 966 	1 an	2 minutes et 40 secondes
Double Face	=EYE= 	3 182 460 	3 ans	2 minutes et 18 secondes
XXVeil	Midnight Butlers 	5 653 274 	3 ans	2 minutes et 15 secondes
五奇人	Eccentric Party Night!!	2 754 372 	9 mois	2 minutes et 21 secondes
fine & Knights	スターライトパレード	2 014 207 	11 mois	2 minutes et 25 secondes
流星隊	GROWING STARRY DAYS	731 634 	1 an	2 minutes et 5 secondes
紅月	金色千夜夢舞台 	272 740 	3 semaines	2 minutes et 38 secondes
Branco	Sweet Sweet White Song 	3 789 227 	3 ans	2 minutes et 13 secondes
Knights	Fight for Judge 	7 512 101 	3 ans	2 minutes et 25 secondes
Switch	Knockin' Fantasy 	2 387 650 	3 ans	2 minutes et 7 secondes
Trickstar	HEART→BEATER!!!!(ALBUM Mix) 	1 049 165 	3 ans	2 minutes et 21 secondes
Adam	Ruler’s Truth 	679 133 	1 an	2 minutes et 18 secondes
流星隊	RELAX PARADISE 	725 356 	5 mois	2 minutes et 42 secondes
流星隊	Colors Arise -新ユニット衣装ver- 	439 273 	10 mois	2 minutes et 31 secondes
Ring.A.Bell	Aisle, be with you 	5 518 310 	2 ans	2 minutes et 48 secondes
ALKALOID	UNDYING HOLY LOVE 	950 284 	2 mois	2 minutes et 40 secondes
fine	羽ばたきのフォルティシモ 	1 123 072 	3 ans	2 minutes et 22 secondes
紅月	斬 -決意ノ刃- 	1 504 401 	3 ans	2 minutes et 26 secondes
流星隊	流星花火 	2 520 599 	2 ans	2 minutes et 2 secondes
UNDEAD	Nightless World 	2 494 311 	3 ans	1 minute et 57 secondes
Trickstar	Romantic Xday! 	361 553 	10 jours	2 minutes et 38 secondes
紅月	紅月いろは唄 	2 079 497 	2 ans	2 minutes
Trickstar	Infinite Star 	1 605 786 	3 ans	2 minutes et 36 secondes
流星隊	メテオ・スクランブル☆流星隊! 	1 311 223 	2 ans	2 minutes et 30 secondes
Crazy:B	Helter-Spider 	4 860 540 	1 an	2 minutes et 23 secondes
Switch	Knockin' Fantasy 	2 387 653 	3 ans	2 minutes et 7 secondes
Crazy:B	Crazy Anthem	1 000 092 	6 mois	2 minutes et 38 secondes
ALKALOID	Black Out See Saw 	111 632 	17 heures	2 minutes et 27 secondes
Adam	The Beast of the End 	1 440 269 	2 ans	1 minute et 59 secondes
ALKALOID	Kiss of Life 	7 578 871 	4 ans	2 minutes et 34 secondes
Double Face	Stippling 	1 843 558 	2 ans	2 minutes et 7 secondes
Valkyrie	Le temps des fleurs	1 180 915 	3 mois	2 minutes et 35 secondes
2wink	Mischievous Party Time!! 	988 511 	2 ans	2 minutes et 23 secondes
UNDEAD	Gate of the Abyss 	2 442 065 	3 ans	2 minutes et 23 secondes
Eden	THE GENESIS 	11 584 634 	3 ans	2 minutes et 50 secondes
fine	Dreaming Ocean	563 590 	4 mois	2 minutes et 37 secondes
Eden	Dance in the Apocalypse 	7 685 075 	3 ans	2 minutes et 11 secondes
Valkyrie	魅惑劇 	4 487 659 	3 ans	2 minutes et 24 secondes
fine	始まりのファンタジア 	966 375 	2 ans	2 minutes et 26 secondes
MaM	愉快痛快 That's alright! 	1 010 023 	2 ans	2 minutes et 24 secondes
オルタード	Twilight Pentagram 	4 156 069 	8 mois	2 minutes et 44 secondes
